Date,Wake Up Time,Sleep Time,,Date,Wake Up Time,Sleep Time,,Date,Wake Up Time,Sleep Time
1-Jan,7:30 AM,11:30 PM,,1-Feb,6:55 AM,10:55 PM,,1-Mar,6:21 AM,10:21 PM
2-Jan,7:29 AM,11:29 PM,,2-Feb,6:54 AM,10:54 PM,,2-Mar,6:19 AM,10:19 PM
3-Jan,7:28 AM,11:28 PM,,3-Feb,6:53 AM,10:53 PM,,3-Mar,6:18 AM,10:18 PM
4-Jan,7:27 AM,11:27 PM,,4-Feb,6:52 AM,10:52 PM,,4-Mar,6:17 AM,10:17 PM
5-Jan,7:26 AM,11:26 PM,,5-Feb,6:51 AM,10:51 PM,,5-Mar,6:15 AM,10:15 PM
6-Jan,7:25 AM,11:25 PM,,6-Feb,6:49 AM,10:49 PM,,6-Mar,6:14 AM,10:14 PM
7-Jan,7:23 AM,11:23 PM,,7-Feb,6:48 AM,10:48 PM,,7-Mar,6:13 AM,10:13 PM
8-Jan,7:22 AM,11:22 PM,,8-Feb,6:47 AM,10:47 PM,,8-Mar,6:11 AM,10:11 PM
9-Jan,7:21 AM,11:21 PM,,9-Feb,6:46 AM,10:46 PM,,9-Mar,6:10 AM,10:10 PM
10-Jan,7:20 AM,11:20 PM,,10-Feb,6:45 AM,10:45 PM,,10-Mar,6:09 AM,10:09 PM
11-Jan,7:19 AM,11:19 PM,,11-Feb,6:43 AM,10:43 PM,,11-Mar,6:08 AM,10:08 PM
12-Jan,7:18 AM,11:18 PM,,12-Feb,6:42 AM,10:42 PM,,12-Mar,6:06 AM,10:06 PM
13-Jan,7:17 AM,11:17 PM,,13-Feb,6:41 AM,10:41 PM,,13-Mar,6:05 AM,10:05 PM
14-Jan,7:16 AM,11:16 PM,,14-Feb,6:40 AM,10:40 PM,,14-Mar,6:04 AM,10:04 PM
15-Jan,7:15 AM,11:15 PM,,15-Feb,6:39 AM,10:39 PM,,15-Mar,6:03 AM,10:03 PM
16-Jan,7:13 AM,11:13 PM,,16-Feb,6:37 AM,10:37 PM,,16-Mar,6:01 AM,10:01 PM
17-Jan,7:12 AM,11:12 PM,,17-Feb,6:36 AM,10:36 PM,,17-Mar,6:00 AM,10:00 PM
18-Jan,7:11 AM,11:11 PM,,18-Feb,6:35 AM,10:35 PM,,18-Mar,5:59 AM,9:59 PM
19-Jan,7:10 AM,11:10 PM,,19-Feb,6:33 AM,10:33 PM,,19-Mar,5:58 AM,9:58 PM
20-Jan,7:09 AM,11:09 PM,,20-Feb,6:32 AM,10:32 PM,,20-Mar,5:56 AM,9:56 PM
21-Jan,7:08 AM,11:08 PM,,21-Feb,6:31 AM,10:31 PM,,21-Mar,5:55 AM,9:55 PM
22-Jan,7:07 AM,11:07 PM,,22-Feb,6:30 AM,10:30 PM,,22-Mar,5:54 AM,9:54 PM
23-Jan,7:06 AM,11:06 PM,,23-Feb,6:28 AM,10:28 PM,,23-Mar,5:53 AM,9:53 PM
24-Jan,7:04 AM,11:04 PM,,24-Feb,6:27 AM,10:27 PM,,24-Mar,5:52 AM,9:52 PM
25-Jan,7:03 AM,11:03 PM,,25-Feb,6:26 AM,10:26 PM,,25-Mar,5:50 AM,9:50 PM
26-Jan,7:02 AM,11:02 PM,,26-Feb,6:24 AM,10:24 PM,,26-Mar,5:49 AM,9:49 PM
27-Jan,7:01 AM,11:01 PM,,27-Feb,6:23 AM,10:23 PM,,27-Mar,5:48 AM,9:48 PM
28-Jan,7:00 AM,11:00 PM,,28-Feb,6:22 AM,10:22 PM,,28-Mar,5:47 AM,9:47 PM
29-Jan,6:59 AM,10:59 PM,,,,,,29-Mar,5:46 AM,9:46 PM
30-Jan,6:58 AM,10:58 PM,,,,,,30-Mar,5:44 AM,9:44 PM
31-Jan,6:56 AM,10:56 PM,,,,,,31-Mar,5:43 AM,9:43 PM
,,,,,,,,,,
,,,,,,,,,,
Date,Wake Up Time,Sleep Time,,Date,Wake Up Time,Sleep Time,,Date,Wake Up Time,Sleep Time
1-Apr,5:42 AM,9:42 PM,,1-May,5:09 AM,9:09 PM,,1-Jun,4:25 AM,8:25 PM
2-Apr,5:41 AM,9:41 PM,,2-May,5:08 AM,9:08 PM,,2-Jun,4:24 AM,8:24 PM
3-Apr,5:40 AM,9:40 PM,,3-May,5:06 AM,9:06 PM,,3-Jun,4:23 AM,8:23 PM
4-Apr,5:39 AM,9:39 PM,,4-May,5:05 AM,9:05 PM,,4-Jun,4:22 AM,8:22 PM
5-Apr,5:38 AM,9:38 PM,,5-May,5:04 AM,9:04 PM,,5-Jun,4:21 AM,8:21 PM
6-Apr,5:36 AM,9:36 PM,,6-May,5:03 AM,9:03 PM,,6-Jun,4:20 AM,8:20 PM
7-Apr,5:35 AM,9:35 PM,,7-May,5:01 AM,9:01 PM,,7-Jun,4:19 AM,8:19 PM
8-Apr,5:34 AM,9:34 PM,,8-May,5:00 AM,9:00 PM,,8-Jun,4:18 AM,8:18 PM
9-Apr,5:33 AM,9:33 PM,,9-May,4:59 AM,8:59 PM,,9-Jun,4:17 AM,8:17 PM
10-Apr,5:32 AM,9:32 PM,,10-May,4:57 AM,8:57 PM,,10-Jun,4:16 AM,8:16 PM
11-Apr,5:31 AM,9:31 PM,,11-May,4:56 AM,8:56 PM,,11-Jun,4:16 AM,8:16 PM
12-Apr,5:30 AM,9:30 PM,,12-May,4:55 AM,8:55 PM,,12-Jun,4:15 AM,8:15 PM
13-Apr,5:29 AM,9:29 PM,,13-May,4:53 AM,8:53 PM,,13-Jun,4:15 AM,8:15 PM
14-Apr,5:28 AM,9:28 PM,,14-May,4:52 AM,8:52 PM,,14-Jun,4:15 AM,8:15 PM
15-Apr,5:27 AM,9:27 PM,,15-May,4:51 AM,8:51 PM,,15-Jun,4:15 AM,8:15 PM
16-Apr,5:25 AM,9:25 PM,,16-May,4:49 AM,8:49 PM,,16-Jun,4:14 AM,8:14 PM
17-Apr,5:24 AM,9:24 PM,,17-May,4:48 AM,8:48 PM,,17-Jun,4:14 AM,8:14 PM
18-Apr,5:23 AM,9:23 PM,,18-May,4:46 AM,8:46 PM,,18-Jun,4:15 AM,8:15 PM
19-Apr,5:22 AM,9:22 PM,,19-May,4:44 AM,8:44 PM,,19-Jun,4:15 AM,8:15 PM
20-Apr,5:21 AM,9:21 PM,,20-May,4:43 AM,8:43 PM,,20-Jun,4:15 AM,8:15 PM
21-Apr,5:20 AM,9:20 PM,,21-May,4:41 AM,8:41 PM,,21-Jun,4:16 AM,8:16 PM
22-Apr,5:19 AM,9:19 PM,,22-May,4:40 AM,8:40 PM,,22-Jun,4:16 AM,8:16 PM
23-Apr,5:18 AM,9:18 PM,,23-May,4:38 AM,8:38 PM,,23-Jun,4:17 AM,8:17 PM
24-Apr,5:17 AM,9:17 PM,,24-May,4:37 AM,8:37 PM,,24-Jun,4:17 AM,8:17 PM
25-Apr,5:16 AM,9:16 PM,,25-May,4:35 AM,8:35 PM,,25-Jun,4:18 AM,8:18 PM
26-Apr,5:14 AM,9:14 PM,,26-May,4:34 AM,8:34 PM,,26-Jun,4:19 AM,8:19 PM
27-Apr,5:13 AM,9:13 PM,,27-May,4:32 AM,8:32 PM,,27-Jun,4:20 AM,8:20 PM
28-Apr,5:12 AM,9:12 PM,,28-May,4:31 AM,8:31 PM,,28-Jun,4:21 AM,8:21 PM
29-Apr,5:11 AM,9:11 PM,,29-May,4:29 AM,8:29 PM,,29-Jun,4:22 AM,8:22 PM
30-Apr,5:10 AM,9:10 PM,,30-May,4:28 AM,8:28 PM,,30-Jun,4:23 AM,8:23 PM
,,,,31-May,4:27 AM,8:27 PM,,,,
,,,,,,,,,,
Date,Wake Up Time,Sleep Time,,Date,Wake Up Time,Sleep Time,,Date,Wake Up Time,Sleep Time
1-Jul,4:24 AM,8:24 PM,,1-Aug,4:56 AM,8:56 PM,,1-Sep,5:20 AM,9:20 PM
2-Jul,4:25 AM,8:25 PM,,2-Aug,4:56 AM,8:56 PM,,2-Sep,5:20 AM,9:20 PM
3-Jul,4:26 AM,8:26 PM,,3-Aug,4:57 AM,8:57 PM,,3-Sep,5:21 AM,9:21 PM
4-Jul,4:27 AM,8:27 PM,,4-Aug,4:58 AM,8:58 PM,,4-Sep,5:22 AM,9:22 PM
5-Jul,4:28 AM,8:28 PM,,5-Aug,4:59 AM,8:59 PM,,5-Sep,5:23 AM,9:23 PM
6-Jul,4:30 AM,8:30 PM,,6-Aug,4:59 AM,8:59 PM,,6-Sep,5:24 AM,9:24 PM
7-Jul,4:31 AM,8:31 PM,,7-Aug,5:00 AM,9:00 PM,,7-Sep,5:25 AM,9:25 PM
8-Jul,4:32 AM,8:32 PM,,8-Aug,5:01 AM,9:01 PM,,8-Sep,5:26 AM,9:26 PM
9-Jul,4:33 AM,8:33 PM,,9-Aug,5:02 AM,9:02 PM,,9-Sep,5:26 AM,9:26 PM
10-Jul,4:34 AM,8:34 PM,,10-Aug,5:02 AM,9:02 PM,,10-Sep,5:27 AM,9:27 PM
11-Jul,4:36 AM,8:36 PM,,11-Aug,5:03 AM,9:03 PM,,11-Sep,5:28 AM,9:28 PM
12-Jul,4:37 AM,8:37 PM,,12-Aug,5:04 AM,9:04 PM,,12-Sep,5:29 AM,9:29 PM
13-Jul,4:38 AM,8:38 PM,,13-Aug,5:04 AM,9:04 PM,,13-Sep,5:30 AM,9:30 PM
14-Jul,4:39 AM,8:39 PM,,14-Aug,5:05 AM,9:05 PM,,14-Sep,5:31 AM,9:31 PM
15-Jul,4:40 AM,8:40 PM,,15-Aug,5:06 AM,9:06 PM,,15-Sep,5:32 AM,9:32 PM
16-Jul,4:41 AM,8:41 PM,,16-Aug,5:07 AM,9:07 PM,,16-Sep,5:33 AM,9:33 PM
17-Jul,4:42 AM,8:42 PM,,17-Aug,5:07 AM,9:07 PM,,17-Sep,5:33 AM,9:33 PM
18-Jul,4:43 AM,8:43 PM,,18-Aug,5:08 AM,9:08 PM,,18-Sep,5:34 AM,9:34 PM
19-Jul,4:44 AM,8:44 PM,,19-Aug,5:09 AM,9:09 PM,,19-Sep,5:35 AM,9:35 PM
20-Jul,4:45 AM,8:45 PM,,20-Aug,5:10 AM,9:10 PM,,20-Sep,5:36 AM,9:36 PM
21-Jul,4:46 AM,8:46 PM,,21-Aug,5:11 AM,9:11 PM,,21-Sep,5:37 AM,9:37 PM
22-Jul,4:47 AM,8:47 PM,,22-Aug,5:11 AM,9:11 PM,,22-Sep,5:38 AM,9:38 PM
23-Jul,4:48 AM,8:48 PM,,23-Aug,5:12 AM,9:12 PM,,23-Sep,5:39 AM,9:39 PM
24-Jul,4:49 AM,8:49 PM,,24-Aug,5:13 AM,9:13 PM,,24-Sep,5:39 AM,9:39 PM
25-Jul,4:50 AM,8:50 PM,,25-Aug,5:14 AM,9:14 PM,,25-Sep,5:40 AM,9:40 PM
26-Jul,4:51 AM,8:51 PM,,26-Aug,5:15 AM,9:15 PM,,26-Sep,5:41 AM,9:41 PM
27-Jul,4:52 AM,8:52 PM,,27-Aug,5:15 AM,9:15 PM,,27-Sep,5:42 AM,9:42 PM
28-Jul,4:52 AM,8:52 PM,,28-Aug,5:16 AM,9:16 PM,,28-Sep,5:43 AM,9:43 PM
29-Jul,4:53 AM,8:53 PM,,29-Aug,5:17 AM,9:17 PM,,29-Sep,5:44 AM,9:44 PM
30-Jul,4:54 AM,8:54 PM,,30-Aug,5:18 AM,9:18 PM,,30-Sep,5:45 AM,9:45 PM
31-Jul,4:55 AM,8:55 PM,,31-Aug,5:19 AM,9:19 PM,,,,
,,,,,,,,,,
,,,,,,,,,,
Date,Wake Up Time,Sleep Time,,Date,Wake Up Time,Sleep Time,,Date,Wake Up Time,Sleep Time
1-Oct,5:45 AM,9:45 PM,,1-Nov,6:11 AM,10:11 PM,,1-Dec,6:37 AM,10:37 PM
2-Oct,5:46 AM,9:46 PM,,2-Nov,6:12 AM,10:12 PM,,2-Dec,6:38 AM,10:38 PM
3-Oct,5:47 AM,9:47 PM,,3-Nov,6:13 AM,10:13 PM,,3-Dec,6:38 AM,10:38 PM
4-Oct,5:48 AM,9:48 PM,,4-Nov,6:14 AM,10:14 PM,,4-Dec,6:39 AM,10:39 PM
5-Oct,5:49 AM,9:49 PM,,5-Nov,6:15 AM,10:15 PM,,5-Dec,6:40 AM,10:40 PM
6-Oct,5:50 AM,9:50 PM,,6-Nov,6:16 AM,10:16 PM,,6-Dec,6:41 AM,10:41 PM
7-Oct,5:51 AM,9:51 PM,,7-Nov,6:16 AM,10:16 PM,,7-Dec,6:42 AM,10:42 PM
8-Oct,5:51 AM,9:51 PM,,8-Nov,6:17 AM,10:17 PM,,8-Dec,6:43 AM,10:43 PM
9-Oct,5:52 AM,9:52 PM,,9-Nov,6:18 AM,10:18 PM,,9-Dec,6:44 AM,10:44 PM
10-Oct,5:53 AM,9:53 PM,,10-Nov,6:19 AM,10:19 PM,,10-Dec,6:44 AM,10:44 PM
11-Oct,5:54 AM,9:54 PM,,11-Nov,6:20 AM,10:20 PM,,11-Dec,6:45 AM,10:45 PM
12-Oct,5:55 AM,9:55 PM,,12-Nov,6:21 AM,10:21 PM,,12-Dec,6:46 AM,10:46 PM
13-Oct,5:56 AM,9:56 PM,,13-Nov,6:21 AM,10:21 PM,,13-Dec,6:47 AM,10:47 PM
14-Oct,5:57 AM,9:57 PM,,14-Nov,6:22 AM,10:22 PM,,14-Dec,6:48 AM,10:48 PM
15-Oct,5:57 AM,9:57 PM,,15-Nov,6:23 AM,10:23 PM,,15-Dec,6:49 AM,10:49 PM
16-Oct,5:58 AM,9:58 PM,,16-Nov,6:24 AM,10:24 PM,,16-Dec,6:50 AM,10:50 PM
17-Oct,5:59 AM,9:59 PM,,17-Nov,6:25 AM,10:25 PM,,17-Dec,6:51 AM,10:51 PM
18-Oct,6:00 AM,10:00 PM,,18-Nov,6:26 AM,10:26 PM,,18-Dec,6:51 AM,10:51 PM
19-Oct,6:01 AM,10:01 PM,,19-Nov,6:26 AM,10:26 PM,,19-Dec,6:52 AM,10:52 PM
20-Oct,6:02 AM,10:02 PM,,20-Nov,6:27 AM,10:27 PM,,20-Dec,6:53 AM,10:53 PM
21-Oct,6:02 AM,10:02 PM,,21-Nov,6:28 AM,10:28 PM,,21-Dec,6:54 AM,10:54 PM
22-Oct,6:03 AM,10:03 PM,,22-Nov,6:29 AM,10:29 PM,,22-Dec,6:55 AM,10:55 PM
23-Oct,6:04 AM,10:04 PM,,23-Nov,6:30 AM,10:30 PM,,23-Dec,6:56 AM,10:56 PM
24-Oct,6:05 AM,10:05 PM,,24-Nov,6:31 AM,10:31 PM,,24-Dec,6:57 AM,10:57 PM
25-Oct,6:06 AM,10:06 PM,,25-Nov,6:32 AM,10:32 PM,,25-Dec,6:57 AM,10:57 PM
26-Oct,6:07 AM,10:07 PM,,26-Nov,6:32 AM,10:32 PM,,26-Dec,6:58 AM,10:58 PM
27-Oct,6:07 AM,10:07 PM,,27-Nov,6:33 AM,10:33 PM,,27-Dec,6:59 AM,10:59 PM
28-Oct,6:08 AM,10:08 PM,,28-Nov,6:34 AM,10:34 PM,,28-Dec,7:00 AM,11:00 PM
29-Oct,6:09 AM,10:09 PM,,29-Nov,6:35 AM,10:35 PM,,29-Dec,7:01 AM,11:01 PM
30-Oct,6:10 AM,10:10 PM,,30-Nov,6:36 AM,10:36 PM,,30-Dec,7:02 AM,11:02 PM
31-Oct,6:11 AM,10:11 PM,,,,,,31-Dec,7:03 AM,11:03 PM
